## Complete Banking System Example

| ID   | User Story | Story Points | Acceptance Criteria |
|------|------------|--------------|-------------------|
| US01 | As a customer, I want to create a bank account so that I can store my money safely. | 5 | User can create an account and receive a confirmation. |
| US02 | As a customer, I want to deposit money into my account so that my balance increases. | 3 | Deposit reflects immediately in account balance. |
| US03 | As a customer, I want to withdraw money from my account so that I can pay for expenses. | 3 | Withdrawal reduces balance correctly. |
| US04 | As a customer, I want to transfer funds to another account so that I can pay others. | 5 | Transfers succeed only if sufficient balance exists. |
| US05 | As a customer, I want to view my transaction history so that I can track my spending. | 2 | Transactions are listed in chronological order. |
| US06 | As a customer, I want to apply for a loan so that I can receive funds for emergencies. | 8 | Loan application is submitted and status tracked. |
| US07 | As a bank manager, I want to approve or reject loan applications so that only valid requests are processed. | 5 | Manager can approve/reject with confirmation notifications. |
| US08 | As a customer, I want to receive monthly statements so that I can review my account. | 3 | PDF statements are generated and emailed monthly. |
| US09 | As a bank admin, I want to generate reports so that I can monitor system usage. | 5 | Reports show accurate metrics for accounts and transactions. |
| US10 | As a customer, I want to update my personal information so that my account is current. | 2 | Changes are saved and confirmed. |
